id,amount,category,description,date
e001,166.0,Shopping,Sunglasses,2026-01-01
e002,450.0,Food,Jollibee,2026-01-01
e003,570.0,Food,Foods,2026-01-02
e004,500.0,Entertainment,Liquor/Party,2026-01-02
e005,375.0,Food,Foods,2026-01-04
e006,200.0,Transport,Fuel,2026-01-05
e007,150.0,Food,Snacks,2026-01-05
e008,470.0,Food,Food for Dinner,2026-01-06
e009,150.0,Food,Snacks,2026-01-07
e010,115.0,Health,Salonpas,2026-01-11
e011,250.0,Food,Food,2026-01-12
e012,364.0,Health,Deodorant,2026-01-12
e013,213.0,Health,Lotion,2026-01-12
e014,295.0,Shopping,T-Shirt,2026-01-12
e015,239.0,Shopping,Screen Protector,2026-01-12
e016,1379.0,Shopping,MoonSwatch Mission To Earth / Watch,2026-01-12
e017,500.0,Housing,DP,2026-01-13
e018,500.0,Food,Snacks,2026-01-15
e019,50.0,Transport,Fuel,2026-01-15
e020,90.0,Food,Food/Lunch,2026-01-15
e021,30.0,Food,Snacks,2026-01-15
e022,100.0,Transport,Fuel,2026-01-15
e023,100.0,Food,Food/BBQ,2026-01-15
e024,40.0,Other,Convenience Fee,2026-01-15
e025,100.0,Other,Gcash,2026-01-16
e026,90.0,Food,Food,2026-01-16
e027,155.0,Food,Lunch,2026-01-17
e028,120.0,Food,Dinner,2026-01-17
e029,100.0,Transport,Fuel,2026-01-17
e030,25.0,Other,Coins Savings,2026-01-17
e031,163.0,Food,Snacks,2026-01-18
e032,37.0,Other,Coins Savings,2026-01-18
e033,1700.0,Housing,Monthly Payment,2026-01-18
e034,250.0,Transport,Fuel,2026-01-20
e035,260.0,Health,Hair care,2026-01-20
e036,90.0,Food,Lunch,2026-01-21
e037,100.0,Other,Debt,2026-01-22
e038,170.0,Food,Dinner,2026-01-23
e039,570.0,Health,Haircut plus SF,2026-01-25
e040,295.0,Food,Dinner/Sisig,2026-01-25
e041,300.0,Food,Dinner/Lechon,2026-01-27
e042,150.0,Food,Lunch/Itlog and Chicken,2026-01-29
e043,340.0,Entertainment,Dinner and Drinks,2026-01-29
e044,175.0,Entertainment,Snack/Red horse and Sisig,2026-01-30
e045,1400.0,Shopping,Parcel,2026-01-31
e046,140.00,Food,Lunch,2026-02-02
e047,500.00,Shopping,Parcel,2026-02-02
e048,3400.00,Other,GCASH Balance,2026-02-01
e049,310.00,Food,Snacks,2026-02-01
e050,250.00,Transport,Fuel,2026-02-02
e051,350.00,Transport,Change Oil,2026-02-02
e052,20.00,Food,Snack,2026-02-03
e053,300.00,Transport,Fuel,2026-02-03
e054,500.00,Housing,Payment,2026-02-03
e055,650.00,Food,Food dinner,2026-02-03
e056,180.00,Entertainment,Drinks,2026-02-03
e057,200.00,Entertainment,Games,2026-02-06
e058,400.00,Transport,Gas Multicab,2026-02-06
e059,2500.00,Shopping,Early Payment Shopee,2026-02-06
e060,420.00,Transport,Engine Oil and Gear Oil,2026-02-07
e061,210.00,Transport,Change Tire labor and sealant,2026-02-07
e062,330.00,Food,Foods and drinks,2026-02-08
e063,140.00,Food,Lunch,2026-02-09
e064,275.00,Food,Lunch,2026-02-10
e065,300.00,Shopping,Maskara,2026-02-10
e066,80.00,Education,RJ45 and Cat5,2026-02-10
e067,250.00,Food,Drinks and Foods,2026-02-10
